 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 87949.55 sec)
0.015	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.016	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.016	                       -	                   -	Blocking app contact
0.088	                       -	                   -	SecItemCopyMatching() returned errSecItemNotFound. Will attempt to regenerate the key.
0.088	                       -	                   -	Creating a new encryption key
0.323	                       -	                   -	server_show_windows_for_asns start
0.323	                       -	                   -	Allowing apps to contact us
0.323	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.323	                       -	                   -	Still waiting for registration from Finder
0.323	                       -	                   -	Finder was already launched
0.324	                       -	                   -	Liveness: 2 -> 3 (add_app)
0.324	        com.apple.finder	           Launching	
0.325	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.325	                       -	                   -	loginwindow launched apps com.apple.finder
0.325	                       -	                   -	Bitmaps Ready (1 apps, 0 windows)
0.325	        com.apple.finder	                   -	Disposing because it has no windows
0.327	        com.apple.finder	            Disposed	
0.327	                       -	                   -	server_show_windows_for_asns end
0.327	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.327	                       -	                   -	Still waiting for registration from Finder
0.354	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.354	                       -	                   -	Still waiting for registration from Finder
0.533	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.533	                       -	                   -	Still waiting for registration from Finder
2.327	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
3.254	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
4.791	        com.apple.finder	                   -	Finder checked in
4.791	                       -	                   -	All started apps have registered (no remaining unregistered apps)
4.791	                       -	                   -	TAL Relaunch - all apps registered as ready
15.015	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.015	                       -	                   -	Exiting out of boredom
